NP,TWR,EX,AGR,Prediction,Lower_limit,Upper_limit
1,42.08437,5.957816,7.528536,0.102912834,0.060248977,0.1703128
2,42.08437,5.957816,7.528536,0.019457297,0.006866873,0.05387989
3,42.08437,5.957816,7.528536,0.008962645,0.001887798,0.04145059
1,42.08437,5.957816,7.528536,0.102912834,0.060248977,0.1703128
1,26.27698,5.957816,7.528536,0.05781917,0.02727433,0.11840753
1,57.89175,5.957816,7.528536,0.17658405,0.101209682,0.28998154
1,42.08437,5.957816,7.528536,0.102912834,0.060248977,0.1703128
1,42.08437,3.746199,7.528536,0.17145386,0.099248721,0.27986798
1,42.08437,8.169434,7.528536,0.0597946,0.02619334,0.13071423
1,42.08437,5.957816,7.528536,0.102912834,0.060248977,0.1703128
1,42.08437,5.957816,5.871032,0.06500685,0.028504191,0.14144896
1,42.08437,5.957816,9.18604,0.15915954,0.092027925,0.26117545
